filename,objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,cataloger,access_restrictions,citation
uo_1968_film-photo_001.jpeg,uo_1968_film-photo_001,Johnson Hall protest - 3,University of Oregon,1986-07-01,Black and white image from behind the band as they performed at the top of the Johnson Hall steps. A crowd is gathered below them on the sidewalks and street.,"University of Oregon; Johnson Hall; Campus activism; Black-and-white photographs

","University of Oregon, Eugene",44.0448,-123.0726,Oregon Digital - https://oregondigital.org/concern/images/df66nn37m,UAREF3_Bx20G_StuActProtests_SA220,Black and white film camera,image/jpeg,English,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,Adaleah,"Property rights reside with Special Collections & University Archives, University of Oregon Libraries. All requests for permission to publish collection materials must be submitted to Special Collections & University Archives.","UO Archives Photographs, University of Oregon. ""Johnson Hall protest - 3"" Oregon Digital.https://oregondigital.org/concern/images/df66nn37m"
uo_1965_film-photo_002.jpeg,uo_1965_film-photo_002,Viet Nam Protest,University of Oregon,1986-07-01,Black and white image of students seated inside during a rally. A few people at the back are holding signs.,"Eugene; protest; University of Oregon; Demonstrations; Campus activism; Black-and-white photographs
","University of Oregon, Eugene",44.0448,-123.0726,Oregon Digital - https://oregondigital.org/concern/images/df66nn37m ,UAREF3_Bx20G_StuActProtests_SA224,Black and white film camera,image/jpeg,English,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,Adaleah,"Property rights reside with Special Collections & University Archives, University of Oregon Libraries. All requests for permission to publish collection materials must be submitted to Special Collections & University Archives.","UO Archives Photographs, University of Oregon. ""Viet Nam Protest"" Oregon Digital. https://oregondigital.org/concern/images/df66nn794"
uo_1965_film-photo_001.jpeg,uo_1965_film-photo_001,All Night Protest,University of Oregon,1965,"Black and white image of students seated. Most of the students are facing the same direction. A sign beside the group reads in part ""All-Night Protest Stop the War in Viet Nam.""","Demonstrations; Eugene; Posters; Campus activism; Black-and-white photographs
","University of Oregon, Eugene",44.0448,-123.0726,Oregon Digital - https://oregondigital.org/concern/images/df66nn37m ,UAREF3_Bx20G_StuActProtests_SA171,Black and white film camera,image/jpeg,English,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,Adaleah,"Property rights reside with Special Collections & University Archives, University of Oregon Libraries. All requests for permission to publish collection materials must be submitted to Special Collections & University Archives.","UO Archives Photographs, University of Oregon. ""All Night Protest"" Oregon Digital. https://oregondigital.org/concern/images/df66nh667"
uo_1966_film-photo_001.jpeg,uo_1966_film-photo_001,"Anti-Vietnam War protest Eugene, Oregon photographs [b001] [f011]",Laura Bock,1966,"Six black and white photographs of Anti-Vietnam War protests held in Eugene, Oregon and on the University of Oregon campus in 1966","University of Oregon; Demonstrations; Protests; Black-and-white photographs
","University of Oregon, Eugene",44.0448,-123.0726,Oregon Digital - https://oregondigital.org/concern/images/df66nn37m ,UA018_b001_f011,Black and white film camera,image/jpeg,English,Creative Commons Licensing- Non Commercial,https://rightsstatements.org/vocab/InC-EDU/1.0/,image,Adaleah,"Property rights reside with Special Collections & University Archives, University of Oregon Libraries. All requests for permission to publish collection materials must be submitted to Special Collections & University Archives.","Laura J. Bock papers, 1962-1969, University of Oregon. ""Anti-Vietnam War protest Eugene, Oregon photographs [b001] [f011]"" Oregon Digital. https://oregondigital.org/concern/generics/df73bq44k"
uo_1966_film-photo_002.jpeg,uo_1966_film-photo_002,"Anti-Vietnam War protest Eugene, Oregon photographs [b001] [f011] [002a]",Laura Bock,1966,"Six black and white photographs of Anti-Vietnam War protests held in Eugene, Oregon and on the University of Oregon campus in 1966","Protest; University of Oregon; Eugene; Black-and-white photographs
","University of Oregon, Eugene",44.0448,-123.0726,Oregon Digital - https://oregondigital.org/concern/images/df66nn37m ,UA018_b001_f011_002a,Black and white film camera,image/jpeg,English,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,Adaleah,"Property rights reside with Special Collections & University Archives, University of Oregon Libraries. All requests for permission to publish collection materials must be submitted to Special Collections & University Archives.","Laura J. Bock papers, 1962-1969, University of Oregon. ""Anti-Vietnam War protest Eugene, Oregon photographs [b001] [f011] [002a]"" Oregon Digital. https://oregondigital.org/concern/images/df73bc925"
ucla_1966_film-photo_001.jpg,ucla_1966_film-photo_001,"UCLA students and faculty standing in silence protest over the Vietnam War, 1966","Photographer: Malmin, John Publisher: Los Angeles Times",1966-07-14,SILENT HOUR ON CAMPUS-UCLA students and faculty members stand silently in a line to demonstrate their concern over Vietnam. Not a word was spoken for 60 minutes.,"UCLA; Protest; Activism; Crowds; Students; Black-and-white photographs; Campus  Activism; 
","University of California, Los Angeles",34.07069791,-118.4429732,UCLA Library Digitial Collections Los Angeles Times Photographic Collection,uclalat_1429_b571_232176,black and white film camera,image/jpg,N/A,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,Ava,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988","Malmin, John. UCLA students and faculty standing in silent protest over the Vietnam War, 1966. 14 July 1966. UCLA Library Digital Collections - Los Angeles Times Photographic Collection, www.digital.library.ucla.edu/catalog/ark:/21198/zz0002v90q. Los Angeles Times."
ucla_1965_film-photo_001.jpg,ucla_1965_film-photo_001,"UCLA student from Bruin Young Republicans being turned away from campus teach-in on Vietnam, 1965",Publisher:Los Angeles Times,1965-11-13,"SIGN BEARER-Pat Dunnebeck, UCLA senior from Pomona and secretary of Bruin Young Republicans, tried to enter a campus teach-in on Vietnam with a sign prepared by advocates of U.S. policy in Asia but she was turned away.","UCLA; Protest; Activism; Crowds; Students; Civil disobedience; Black-and-white photographs; Protest Signs;
Campus Activism;","University of California, Los Angeles",34.07069791,-118.4429732,UCLA Library Digital Collections - Los Angeles Times Photographic Collection,uclalat_1429_b562_230806,black and white film camera,image/jpg,English,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,Ava,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988","UCLA student from Bruin Young Republicans being turned away from campus teach-in on Vietnam, 1965. 13 Nov. 1965. UCLA Library Digital Collections - Los Angeles Times Photographic Collection, www.digital.library.ucla.edu/catalog/ark:/21198/zz0002txvw. Los Angeles Times."
ucla_1966_film-photo_002.jpg,ucla_1966_film-photo_002,"Mayor Samuel W. Yorty surrounded by UCLA students who oppose Yorty's support of the Vietnam War, Los Angeles, Calif., 1966","Photographer: Cox, Bruce H. Publisher: Los Angeles Times",1966-03-26,STUDENT CRITICS-Mayor Samuel W. Yorty runs into heckling from students who oppose U.S. policies in Vietnam as he takes part in UCLA campus program designed to demonstrate support for the war effort.,"UCLA; Protest; Activism; Students; Civil disobedience; Campus Activism; Activism; Black-and-white Photograph; Protest Signs; Crowds;
","University of California, Los Angeles",34.07069791,-118.4429732,UCLA Library Digital Collections - Los Angeles Times Photographic Collection,uclalat_1429_b571_232176,black and white film camera,image/jpg,English,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,Ava,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988","Cox, Bruce H. Mayor Samuel W. Yorty surrounded by UCLA students who oppose Yorty’s support of the Vietnam War, Los Angeles, Calif., 1966. 26 Mar. 1966. UCLA Library Digital Collections - Los Angeles Times Photographic Collection, www.digital.library.ucla.edu/catalog/ark:/21198/zz0002v15f. Los Angeles Times."
ucla_1972_film-photo_001.jpg,ucla_1972_film-photo_001,"Politician Eugene J. McCarthy leading San Fernando Valley State College students on anti-war march in Northridge, Calif., 1972","Photographer: Markado, Al Publisher: Los Angeles Times",1972-05-11,"MCCARTHY LEADS MARCH-- Former Sen. Eugene J. McCarthy of Minnesota leads more than 500 Valley State College students in a march to Teledyne Inc. of Northridge. The firm, protesting students said, supplies products used by the military in Vietnam. McCarthy, who gave an antiwar speech on the campus Wednesday, led the march for about five blocks and then was whisked away in an automobile.","UCLA; Protest; Activism; Students; Civil disobedience; Campus Activism; Activism; Black-and-white Photograph; Protest Signs; Crowds;
","University of California, Los Angeles",34.07069791,-118.4429732,UCLA Library Digital Collections - Los Angeles Times Photographic Collection,uclalat_1429_b696_271387J,black and white film camera,image/jpg,N/A,Creative Commons Licensing- Non Commercial,http://rightsstatements.org/vocab/InC/1.0/,image,Ava,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988","Markado, Al. Politician Eugene J. McCarthy leading San Fernando Valley State College students on anti-war march in Northridge, Calif., 1972. 11 May 1972. UCLA Library Digital Collections - Los Angeles Times Photographic Collection, www.digital.library.ucla.edu/catalog/ark:/21198/zz0002nknq. Los Angeles Times."
uo_1965_button_001.jpeg,uo_1965_button_001,Anti-Vietnam War buttons [b001] [f012] [005a],Laura Bock,1965,Anti-Vietnam War and peace buttons,University of Oregon, Eugene; Campus Activism; Activism; Political Art;,University of Oregon,44.0445359,-123.0717345,Oregon Digital - Laura J. Bock Papers7,UA018_b001_f012_005a,black and white film camera,image/jpeg,English,Permission must be obtained before use in publications or exhibitions.,http://rightsstatements.org/vocab/InC/1.0/,image,Ava,"Property rights reside with Special Collections & University Archives, University of Oregon Libraries. All requests for permission to publish collection materials must be submitted to Special Collections & University Archives.","Bock, Laura. Anti-Vietnam War buttons [b001] [f012] [005a]. Laura J. Bock papers, 1962-1969, University of Oregon. Oregon Digital, oregondigital.org/concern/images/df73bb64s."
